"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"D05AD","PSORALENS FOR TOPICAL USE","PSORALENES A USAGE TOPIQUE","PSORALENE ZUR TOPISCHEN ANWENDUNG"
"D05AD01","TRIOXYSALEN","TRIOXYSALENE A USAGE TOPIQUE","TRIOXYSALEN"
"D05AD02","METHOXSALEN","METHOXSALENE A USAGE TOPIQUE","METHOXSALEN"
"D05AX","OTHER ANTIPSORIATICS FOR TOPICAL USE","AUTRES MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE","ANDERE ANTIPSORIATIKA ZUR TOPISCHEN ANWENDUNG"
"D05AX01","FUMARIC ACID","ACIDE FUMARIQUE","FUMARSÄURE"
"D05AX02","CALCIPOTRIOL","CALCIPOTRIOL","CALCIPOTRIOL"
"D05AX03","CALCITRIOL","CALCITRIOL","CALCITRIOL"
"D05AX04","TACALCITOL","TACALCITOL","TACALCITOL"
"D05AX05","TAZAROTENE","TAZAROTENE","TAZAROTEN"
"D05AX52","CALCIPOTRIOL, COMBINATIONS","CALCIPOTRIOL EN ASSOCIATION","CALCIPOTRIOL, KOMBINATIONEN"
"D05B","ANTIPSORIATICS FOR SYSTEMIC USE","MEDICAMENTS CONTRE LE PSORIASIS A USAGE SYSTEMIQUE","ANTIPSORIATIKA ZUR SYSTEMISCHEN ANWENDUNG"
"D05BA","PSORALENS FOR SYSTEMIC USE","PSORALENES A USAGE SYSTEMIQUE","PSORALENE ZUR SYSTEMISCHEN ANWENDUNG"
"D05BA01","TRIOXYSALEN","TRIOXYSALENE A USAGE SYSTEMIQUE","TRIOXYSALEN"
"D05BA02","METHOXSALEN","METHOXSALENE A USAGE SYSTEMIQUE","METHOXSALEN"
"D05BA03","BERGAPTEN","5-METHOXYPSORALENE","BERGAPTEN"
"D05BB","RETINOIDS FOR TREATMENT OF PSORIASIS","RETINOIDES POUR LE TRAITEMENT DU PSORIASIS","RETINOIDE ZUR BEHANDLUNG DER PSORIASIS"
"D05BB01","ETRETINATE","ETRETINATE","ETRETINAT"
"D05BB02","ACITRETIN","ACITRETINE","ACITRETIN"
"D05BX","OTHER ANTIPSORIATICS FOR SYSTEMIC USE","AUTRES ANTI-PSORIASIQUES A USAGE SYSTEMIQUE","ANDERE ANTIPSORIATIKA ZUR SYSTEMISCHEN ANWENDUNG"
"D05BX51","FUMARIC ACID DERIVATIVES, COMBINATIONS","ASSOCIATIONS DE DERIVES DE L'ACIDE FUMARIQUE","FUMARSÄURE-DERIVATE, KOMBINATIONEN"
"D06","ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE","ANTIBIOTIKA UND CHEMOTHERAPEUTIKA ZUR DERMATOLOGISCHEN ANWENDUNG"
"D06A","ANTIBIOTICS FOR TOPICAL USE","ANTIBIOTIQUES A USAGE TOPIQUE","ANTIBIOTIKA ZUR TOPISCHEN ANWENDUNG"
"D06AA","TETRACYCLINE AND DERIVATIVES","TETRACYCLINE ET DERIVES","TETRACYCLIN UND DERIVATE"
"D06AA01","DEMECLOCYCLINE","DEMECLOCYCLINE","DEMECLOCYCLIN"
"D06AA02","CHLORTETRACYCLINE","CHLORTETRACYCLINE","CHLORTETRACYCLIN"
"D06AA03","OXYTETRACYCLINE","OXYTETRACYCLINE","OXYTETRACYCLIN"
"D06AA04","TETRACYCLINE","TETRACYCLINE","TETRACYCLIN"
"D06AX","OTHER ANTIBIOTICS FOR TOPICAL USE","AUTRES ANTIBIOTIQUES A USAGE TOPIQUE","ANDERE ANTIBIOTIKA ZUR TOPISCHEN ANWENDUNG"
"D06AX01","FUSIDIC ACID","ACIDE FUSIDIQUE","FUSIDINSÄURE"
"D06AX02","CHLORAMPHENICOL","CHLORAMPHENICOL","CHLORAMPHENICOL"
"D06AX04","NEOMYCIN","NEOMYCINE","NEOMYCIN"
"D06AX05","BACITRACIN","BACITRACINE","BACITRACIN"
"D06AX07","GENTAMICIN","GENTAMICINE","GENTAMICIN"
"D06AX08","TYROTHRICIN","TYROTHRICINE","TYROTHRICIN"
"D06AX09","MUPIROCIN","MUPIROCINE","MUPIROCIN"
"D06AX10","VIRGINIAMYCIN","VIRGINIAMYCINE","VIRGINIAMYCIN"
"D06AX11","RIFAXIMIN","RIFAXIMINE","RIFAXIMIN"
"D06AX12","AMIKACIN","AMIKACINE","AMIKACIN"
"D06AX30","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"D06B","CHEMOTHERAPEUTICS FOR TOPICAL USE","CHIMIOTHERAPIE A USAGE TOPIQUE","CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG"
"D06BA","SULFONAMIDES","SULFAMIDES","SULFONAMIDE"
"D06BA01","SILVER SULFADIAZINE","SULFADIAZINE ARGENTIQUE","SULFADIAZIN-SILBER"
"D06BA02","SULFATHIAZOLE","SULFATHIAZOLE","SULFATHIAZOL"
"D06BA03","MAFENIDE","MAFENIDE","MAFENID"
"D06BA04","SULFAMETHIZOLE","SULFAMETHIZOLE","SULFAMETHIZOL"
"D06BA51","SILVER SULFADIAZINE, COMBINATIONS","SULFADIAZINE ARGENTIQUE EN ASSOCIATION","SULFADIAZIN-SILBER, KOMBINATIONEN"
"D06BB","ANTIVIRALS","ANTIVIRAUX","ANTIVIRALE MITTEL"
"D06BB01","IDOXURIDINE","IDOXURIDINE","IDOXURIDIN"
"D06BB02","TROMANTADINE","TROMANTADINE","TROMANTADIN"
"D06BB03","ACICLOVIR","ACICLOVIR","ACICLOVIR"
"D06BB04","PODOPHYLLOTOXIN","PODOPHYLLOTOXINE","PODOPHYLLOTOXIN"
"D06BB05","INOSINE","INOSINE","INOSIN"
"D06BB06","PENCICLOVIR","PENCICLOVIR","PENCICLOVIR"
"D06BB07","LYSOZYME","LYSOZYME","LYSOZYM"
"D06BB08","IBACITABINE","IBACITABINE","IBACITABIN"
"D06BB09","EDOXUDINE","EDOXUDINE","EDOXUDIN"
"D06BB10","IMIQUIMOD","IMIQUIMOD","IMIQUIMOD"
"D06BB11","DOCOSANOL","DOCOSANOL","DOCOSANOL"
"D06BB53","ACICLOVIR, COMBINATIONS","ASSOCIATIONS D'ACICLOVIR","ACICLOVIR, KOMBINATIONEN"
"D06BX","OTHER CHEMOTHERAPEUTICS","AUTRES CHIMIOTHERAPIES","ANDERE CHEMOTHERAPEUTIKA"
"D06BX01","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOL"
"D06C","ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS","ANTIBIOTIQUES ET CHIMIOTHERAPIE EN ASSOCIATION","ANTIBIOTIKA UND CHEMOTHERAPEUTIKA, KOMBINATIONEN"
"D07","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOIDES, PREPARATIONS DERMATOLOGIQUES","CORTICOSTEROIDE, DERMATOLOGISCHE ZUBEREITUNGEN"
"D07A","CORTICOSTEROIDS, PLAIN","CORTICOIDES NON ASSOCIES","CORTICOSTEROIDE, REIN"
"D07AA","CORTICOSTEROIDS, WEAK (GROUP I)","CORTICOIDES D'ACTIVITE FAIBLE (GROUPE I)","CORTICOSTEROIDE, SCHWACH WIRKSAM (GRUPPE I)"
"D07AA01","METHYLPREDNISOLONE","METHYLPREDNISOLONE","METHYLPREDNISOLON"
"D07AA02","HYDROCORTISONE","HYDROCORTISONE","HYDROCORTISON"
"D07AA03","PREDNISOLONE","PREDNISOLONE","PREDNISOLON"
"D07AB","CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)","CORTICOIDES D'ACTIVITE MODEREE (GROUPE II)","CORTICOSTEROIDE, MITTELSTARK WIRKSAM (GRUPPE II)"
"D07AB01","CLOBETASONE","CLOBETASONE","CLOBETASON"
"D07AB02","HYDROCORTISONE BUTYRATE","HYDROCORTISONE BUTYRATE","HYDROCORTISONBUTYRAT"
"D07AB03","FLUMETASONE","FLUMETASONE","FLUMETASON"
"D07AB04","FLUOCORTIN","FLUOCORTINE","FLUOCORTIN"
"D07AB05","FLUPEROLONE","FLUPEROLONE","FLUPEROLON"
"D07AB06","FLUOROMETHOLONE","FLUOROMETHOLONE","FLUOROMETHOLON"
"D07AB07","FLUPREDNIDENE","FLUPREDNIDENE","FLUPREDNIDEN"
"D07AB08","DESONIDE","DESONIDE","DESONID"
"D07AB09","TRIAMCINOLONE","TRIAMCINOLONE","TRIAMCINOLON"
"D07AB10","ALCLOMETASONE","ALCLOMETASONE","ALCLOMETASON"
"D07AB11","HYDROCORTISONE BUTEPRATE","HYDROCORTISONE BUTEPRATE","HYDROCORTISONBUTEPRAT"
"D07AB19","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASON"
"D07AB21","CLOCORTOLONE","CLOCORTOLONE","CLOCORTOLON"
"D07AB30","COMBINATIONS OF CORTICOSTEROIDS","ASSOCIATIONS DE CORTICOÏDES","KOMBINATIONEN MITTELSTARK WIRKSAMER CORTICOSTEROIDE"
"D07AC","CORTICOSTEROIDS, POTENT (GROUP III)","CORTICOIDES D'ACTIVITE FORTE (GROUPE III)","CORTICOSTEROIDE, STARK WIRKSAM (GRUPPE III)"
"D07AC01","BETAMETHASONE","BETAMETHASONE","BETAMETHASON"
"D07AC02","FLUCLOROLONE","FLUCLOROLONE","FLUCLOROLON"
"D07AC03","DESOXIMETASONE","DESOXIMETASONE","DESOXIMETASON"
"D07AC04","FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE","FLUOCINOLONACETONID"
"D07AC05","FLUOCORTOLONE","FLUOCORTOLONE","FLUOCORTOLON"
"D07AC06","DIFLUCORTOLONE","DIFLUCORTOLONE","DIFLUCORTOLON"
"D07AC07","FLUDROXYCORTIDE","FLUDROXYCORTIDE","FLUDROXYCORTID"
"D07AC08","FLUOCINONIDE","FLUOCINONIDE","FLUOCINONID"
"D07AC09","BUDESONIDE","BUDESONIDE","BUDESONID"
"D07AC10","DIFLORASONE","DIFLORASONE","DIFLORASON"
"D07AC11","AMCINONIDE","AMCINONIDE","AMCINONID"
"D07AC12","HALOMETASONE","HALOMETASONE","HALOMETASON"
"D07AC13","MOMETASONE","MOMETASONE","MOMETASON"
"D07AC14","METHYLPREDNISOLONE ACEPONATE","METHYLPREDNISOLONE ACEPONATE","METHYLPREDNISOLONACEPONAT"
"D07AC15","BECLOMETASONE","BECLOMETASONE","BECLOMETASON"
"D07AC16","HYDROCORTISONE ACEPONATE","HYDROCORTISONE ACEPONATE","HYDROCORTISONACEPONAT"
"D07AC17","FLUTICASONE","FLUTICASONE","FLUTICASON"
"D07AC18","PREDNICARBATE","PREDNICARBATE","PREDNICARBAT"
"D07AC19","DIFLUPREDNATE","DIFLUPREDNATE","DIFLUPREDNAT"
"D07AC21","ULOBETASOL","ULOBETASOL","ULOBETASOL"
"D07AD","CORTICOSTEROIDS, VERY POTENT (GROUP IV)","COSTICOSTEROIDES D'ACTIVITE TRES FORTE (GROUPE IV)","CORTICOSTEROIDE, SEHR STARK WIRKSAM (GRUPPE IV)"
"D07AD01","CLOBETASOL","CLOBETASOL","CLOBETASOL"
"D07AD02","HALCINONIDE","HALCINONIDE","HALCINONID"
"D07B","CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS","CORTICOIDES, ASSOCIATIONS AVEC ANTISEPTIQUES","CORTICOSTEROIDE, KOMBINATIONEN MIT ANTISEPTIKA"
"D07BA","CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTISEPTICS","CORTICOIDES D'ACTIVITE FAIBLE ET ANTISEPTIQUES","CORTICOSTEROIDE, SCHWACH WIRKSAM, KOMBINATIONEN MIT ANTISEPTIKA"
"D07BA01","PREDNISOLONE AND ANTISEPTICS","PREDNISOLONE ET ANTISEPTIQUES","PREDNISOLON UND ANTISEPTIKA"
"D07BA04","HYDROCORTISONE AND ANTISEPTICS","HYDROCORTISONE ET ANTISEPTIQUES","HYDROCORTISON UND ANTISEPTIKA"
"D07BB","CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTISEPTICS","CORTICOIDES D'ACTIVITE MODEREE ET ANTISEPTIQUES","CORTICOSTEROIDE, MITTELSTARK WIRKSAM, KOMBINATIONEN MIT ANTISEPTIKA"
"D07BB01","FLUMETASONE AND ANTISEPTICS","FLUMETASONE ET ANTISEPTIQUES","FLUMETASON UND ANTISEPTIKA"
"D07BB02","DESONIDE AND ANTISEPTICS","DESONIDE ET ANTISEPTIQUES","DESONID UND ANTISEPTIKA"
"D07BB03","TRIAMCINOLONE AND ANTISEPTICS","TRIAMCINOLONE ET ANTISEPTIQUES","TRIAMCINOLON UND ANTISEPTIKA"
"D07BB04","HYDROCORTISONE BUTYRATE AND ANTISEPTICS","HYDROCORTISONE BUTYRATE ET ANTISEPTIQUES","HYDROCORTISONBUTYRAT UND ANTISEPTIKA"
"D07BC","CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTISEPTICS","CORTICOIDES D'ACTIVITE FORTE ET ANTISEPTIQUES","CORTICOSTEROIDE, STARK WIRKSAM, KOMBINATIONEN MIT ANTISEPTIKA"
"D07BC01","BETAMETHASONE AND ANTISEPTICS","BETAMETHASONE ET ANTISEPTIQUES","BETAMETHASON UND ANTISEPTIKA"
"D07BC02","FLUOCINOLONE ACETONIDE AND ANTISEPTICS","FLUOCINOLONE ACETONIDE ET ANTISEPTIQUES","FLUOCINOLONACETONID UND ANTISEPTIKA"
"D07BC03","FLUOCORTOLONE AND ANTISEPTICS","FLUOCORTOLONE ET ANTISEPTIQUES","FLUOCORTOLON UND ANTISEPTIKA"
"D07BC04","DIFLUCORTOLONE AND ANTISEPTICS","DIFLUCORTOLONE ET ANTISEPTIQUES","DIFLUCORTOLON UND ANTISEPTIKA"
"D07BD","CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTISEPTICS","CORTICOIDES D'ACTIVITE TRES FORTE ET ANTISEPTIQUES","CORTICOSTEROIDE, SEHR STARK WIRKSAM, KOMBINATIONEN MIT ANTISEPTIKA"
"D07C","CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","CORTICOIDES, ASSOCIATIONS AVEC ANTIBIOTIQUES","CORTICOSTEROIDE, KOMBINATIONEN MIT ANTIBIOTIKA"
"D07CA","CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTIBIOTICS","CORTICOIDES D'ACTIVITE FAIBLE ET ANTIBIOTIQUES","CORTICOSTEROIDE, SCHWACH WIRKSAM, KOMBINATIONEN MIT ANTIBIOTIKA"
"D07CA01","HYDROCORTISONE AND ANTIBIOTICS","HYDROCORTISONE ET ANTIBIOTIQUES","HYDROCORTISON UND ANTIBIOTIKA"
"D07CA02","METHYLPREDNISOLONE AND ANTIBIOTICS","METHYLPREDNISOLONE ET ANTIBIOTIQUES","METHYLPREDNISOLON UND ANTIBIOTIKA"
"D07CA03","PREDNISOLONE AND ANTIBIOTICS","PREDNISOLONE ET ANTIBIOTIQUES","PREDNISOLON UND ANTIBIOTIKA"
"D07CB","CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTIBIOTICS","CORTICOIDES D'ACTIVITE MODEREE ET ANTIBIOTIQUES","CORTICOSTEROIDE, MITTELSTARK WIRKSAM, KOMBINATIONEN MIT ANTIBIOTIKA"
"D07CB01","TRIAMCINOLONE AND ANTIBIOTICS","TRIAMCINOLONE ET ANTIBIOTIQUES","TRIAMCINOLON UND ANTIBIOTIKA"
"D07CB02","FLUPREDNIDENE AND ANTIBIOTICS","FLUPREDNIDENE ET ANTIBIOTIQUES","FLUPREDNIDEN UND ANTIBIOTIKA"
"D07CB03","FLUOROMETHOLONE AND ANTIBIOTICS","FLUOROMETHOLONE ET ANTIBIOTIQUES","FLUOROMETHOLON UND ANTIBIOTIKA"
"D07CB04","DEXAMETHASONE AND ANTIBIOTICS","DEXAMETHASONE ET ANTIBIOTIQUES","DEXAMETHASON UND ANTIBIOTIKA"
"D07CB05","FLUMETASONE AND ANTIBIOTICS","FLUMETASONE ET ANTIBIOTIQUES","FLUMETASON UND ANTIBIOTIKA"
"D07CC","CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTIBIOTICS","CORTICOIDES D'ACTIVITE FORTE ET ANTIBIOTIQUES","CORTICOSTEROIDE, STARK WIRKSAM, KOMBINATIONEN MIT ANTIBIOTIKA"
"D07CC01","BETAMETHASONE AND ANTIBIOTICS","BETAMETHASONE ET ANTIBIOTIQUES","BETAMETHASON UND ANTIBIOTIKA"
"D07CC02","FLUOCINOLONE ACETONIDE AND ANTIBIOTICS","FLUOCINOLONE ACETONIDE ET ANTIBIOTIQUES","FLUOCINOLONACETONID UND ANTIBIOTIKA"
"D07CC03","FLUDROXYCORTIDE AND ANTIBIOTICS","FLUDROXYCORTIDE ET ANTIBIOTIQUES","FLUDROXYCORTID UND ANTIBIOTIKA"
"D07CC04","BECLOMETASONE AND ANTIBIOTICS","BECLOMETASONE ET ANTIBIOTIQUES","BECLOMETASON UND ANTIBIOTIKA"
"D07CC05","FLUOCINONIDE AND ANTIBIOTICS","FLUOCINONIDE ET ANTIBIOTIQUES","FLUOCINONID UND ANTIBIOTIKA"
"D07CC06","FLUOCORTOLONE AND ANTIBIOTICS","FLUOCORTOLONE ET ANTIBIOTIQUES","FLUOCORTOLON UND ANTIBIOTIKA"
"D07CD","CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTIBIOTICS","CORTICOIDES D'ACTIVITE TRES FORTE ET ANTIBIOTIQUES","CORTICOSTEROIDE, SEHR STARK WIRKSAM, KOMBINATIONEN MIT ANTIBIOTIKA"
"D07CD01","CLOBETASOL AND ANTIBIOTICS","CLOBETASOL ET ANTIBIOTIQUES","CLOBETASOL UND ANTIBIOTIKA"
"D07X","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOIDES, AUTRES ASSOCIATIONS","CORTICOSTEROIDE, ANDERE KOMBINATIONEN"
"D07XA","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS","CORTICOIDES D'ACTIVITE FAIBLE, AUTRES ASSOCIATIONS","CORTICOSTEROIDE, SCHWACH WIRKSAM, ANDERE KOMBINATIONEN"
"D07XA01","HYDROCORTISONE","HYDROCORTISONE","HYDROCORTISON"
"D07XA02","PREDNISOLONE","PREDNISOLONE","PREDNISOLON"
"D07XB","CORTICOSTEROIDS, MODERATELY POTENT, OTHER COMBINATIONS","CORTICOIDES D'ACTIVITE MODEREE, AUTRES ASSOCIATIONS","CORTICOSTEROIDE, MITTELSTARK WIRKSAM, ANDERE KOMBINATIONEN"
"D07XB01","FLUMETASONE","FLUMETASONE","FLUMETASON"
"D07XB02","TRIAMCINOLONE","TRIAMCINOLONE","TRIAMCINOLON"
"D07XB03","FLUPREDNIDENE","FLUPREDNIDENE","FLUPREDNIDEN"
"D07XB04","FLUOROMETHOLONE","FLUOROMETHOLONE","FLUOROMETHOLON"
"D07XB05","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASON"
"D07XB30","COMBINATIONS OF CORTICOSTEROIDS","ASSOCIATIONS DE CORTICOÏDES","KOMBINATIONEN MITTELSTARK WIRKSAMER CORTICOSTEROIDE"
"D07XC","CORTICOSTEROIDS, POTENT, OTHER COMBINATIONS","CORTICOIDES D'ACTIVITE FORTE, AUTRES ASSOCIATIONS","CORTICOSTEROIDE, STARK WIRKSAM, ANDERE KOMBINATIONEN"
"D07XC01","BETAMETHASONE","BETAMETHASONE","BETAMETHASON"
"D07XC02","DESOXIMETASONE","DESOXIMETASONE","DESOXIMETASON"
"D07XC03","MOMETASONE","MOMETASONE","MOMETASON"
"D07XC04","DIFLUCORTOLONE","DIFLUCORTOLONE","DIFLUCORTOLON"
"D07XD","CORTICOSTEROIDS, VERY POTENT, OTHER COMBINATIONS","CORTICOIDES D'ACTIVITE TRES FORTE, AUTRES ASSOCIATIONS","CORTICOSTEROIDE, SEHR STARK WIRKSAM, ANDERE KOMBINATIONEN"
"D08","ANTISEPTICS AND DISINFECTANTS","ANTISEPTIQUES ET DESINFECTANTS","ANTISEPTIKA UND DESINFEKTIONSMITTEL"
"D08A","ANTISEPTICS AND DISINFECTANTS","ANTISEPTIQUE ET DESINFECTANT","ANTISEPTIKA UND DESINFEKTIONSMITTEL"
"D08AA","ACRIDINE DERIVATIVES","DERIVES DE L'ACRIDINE","ACRIDIN-DERIVATE"
"D08AA01","ETHACRIDINE LACTATE","ETHACRIDINE LACTATE","ETHACRIDINLACTAT"
"D08AA02","AMINOACRIDINE","AMINOACRIDINE","AMINOACRIDIN"
"D08AA03","EUFLAVINE","EUFLAVINE","EUFLAVIN"
"D08AB","ALUMINIUM AGENTS","MEDICAMENTS A BASE D'ALUMINIUM","ALUMINIUM-HALTIGE MITTEL"
"D08AC","BIGUANIDES AND AMIDINES","BIGUANIDES ET AMIDINES","BIGUANIDE UND AMIDINE"
"D08AC01","DIBROMPROPAMIDINE","DIBROMPROPAMIDINE","DIBROMPROPAMIDIN"
"D08AC02","CHLORHEXIDINE","CHLORHEXIDINE","CHLORHEXIDIN"
"D08AC03","PROPAMIDINE","PROPAMIDINE","PROPAMIDIN"
"D08AC04","HEXAMIDINE","HEXAMIDINE","HEXAMIDIN"
"D08AC05","POLIHEXANIDE","POLIHEXANIDE","POLIHEXANID"
"D08AC52","CHLORHEXIDINE, COMBINATIONS","CHLORHEXIDINE EN ASSOCIATION","CHLORHEXIDIN, KOMBINATIONEN"
"D08AD","BORIC ACID PRODUCTS","MEDICAMENTS A BASE D'ACIDE BORIQUE","BORSÄURE-HALTIGE MITTEL"
"D08AE","PHENOL AND DERIVATIVES","PHENOL ET DERIVES","PHENOL UND DERIVATE"
"D08AE01","HEXACHLOROPHENE","HEXACHLOROPHENE","HEXACHLOROPHEN"
"D08AE02","POLICRESULEN","POLICRESULENE","POLICRESULEN"
"D08AE03","PHENOL","PHENOL","PHENOL"
"D08AE04","TRICLOSAN","TRICLOSAN","TRICLOSAN"
"D08AE05","CHLOROXYLENOL","CHLOROXYLENOL","CHLOROXYLENOL"
"D08AE06","PHENOL","PHENOL","BIPHENYLOL"
"D08AF","NITROFURAN DERIVATIVES","DERIVES DU FURANE","NITROFURAN-DERIVATE"
"D08AF01","NITROFURAL","NITROFURAZONE","NITROFURAL"
"D08AG","IODINE PRODUCTS","DERIVES IODES","IOD-HALTIGE MITTEL"
"D08AG01","IODINE/OCTYLPHENOXYPOLYGLYCOLETHER","IODE/OCTYLPHENOXYPOLYGLYCOLETHER","IODOCTYLPHENOXYPOLYGLYCOLETHER"
"D08AG02","POVIDONE-IODINE","POLYVIDONE IODEE","POVIDON-IOD"
"D08AG03","IODINE","IODE","IOD"
"D08AG04","DIIODOHYDROXYPROPANE","DIIODOHYDROXYPROPANE","DIIODHYDROXYPROPAN"
"D08AH","QUINOLINE DERIVATIVES","DERIVES DE LA QUINOLEINE","CHINOLIN-DERIVATE"
"D08AH01","DEQUALINIUM","DEQUALINIUM","DEQUALINIUM"
"D08AH02","CHLORQUINALDOL","CHLORQUINALDOL","CHLORQUINALDOL"
"D08AH03","OXYQUINOLINE","OXYQUINOLINE","OXICHINOLIN"
"D08AH30","CLIOQUINOL","CLIOQUINOL","CLIOQUINOL"
"D08AJ","QUATERNARY AMMONIUM COMPOUNDS","AMMONIUMS QUATERNAIRES","QUARTÄRE AMMONIUM-VERBINDUNGEN"
"D08AJ01","BENZALKONIUM","BENZALKONIUM","BENZALKONIUM"
"D08AJ02","CETRIMONIUM","CETRIMONIUM","CETRIMONIUM"
"D08AJ03","CETYLPYRIDINIUM","CETYLPYRIDINIUM","CETYLPYRIDINIUM"
"D08AJ04","CETRIMIDE","CETRIMIDE","CETRIMID"
"D08AJ05","BENZOXONIUM CHLORIDE","BENZOXONIUM CHLORURE","BENZOXONIUMCHLORID"
"D08AJ06","DIDECYLDIMETHYLAMMONIUM CHLORIDE","DIDECYLDIMETHYLAMMONIUM CHLORURE","DIDECYLDIMETHYLAMMONIUMCHLORID"
"D08AJ08","BENZETHONIUM CHLORIDE","BENZETHONIUM CHLORIDE","BENZETHONIUMCHLORID"
"D08AJ57","OCTENIDINE, COMBINATIONS","OCTENIDINE, ASSOCIATIONS","OCTENIDIN, KOMBINATIONEN"
"D08AJ58","BENZETHONIUM CHLORIDE, COMBINATIONS","CHLORURE DE BENZETHONIUM, ASSOCIATIONS","BENZETHONIUMCHLORID, KOMBINATIONEN"
"D08AJ59","DODECLONIUM BROMIDE, COMBINATIONS","BROMURE DE DODECLONIUM, ASSOCIATIONS","DODECLONIUMBROMID, KOMBINATIONEN"
"D08AK","MERCURIAL PRODUCTS","DERIVES MERCURIELS","QUECKSILBER-HALTIGE MITTEL"
"D08AK01","MERCURIC AMIDOCHLORIDE","MERCURE AMIDOCHLORURE","QUECKSILBERAMIDOCHLORID"
"D08AK02","PHENYLMERCURIC BORATE","PHENYLMERCURE BORATE","PHENYLMERCURIBORAT"
"D08AK03","MERCURIC CHLORIDE","MERCURE CHLORURE","QUECKSILBERCHLORID"
"D08AK04","MERCUROCHROME","MERCUROCHROME","MERBROMIN"
"D08AK05","MERCURY, METALLIC","MERCURE METAL","METALLISCHES QUECKSILBER"
"D08AK06","THIOMERSAL","THIOMERSAL","THIOMERSAL"
"D08AK30","MERCURIC IODIDE","MERCURE IODURE","QUECKSILBERIODID"
"D08AL","SILVER COMPOUNDS","DERIVES ARGENTIQUES","SILBER-HALTIGE VERBINDUNGEN"
"D08AL01","SILVER NITRATE","ARGENT NITRATE","SILBERNITRAT"
"D08AL30","SILVER","ARGENT","SILBER"
"D08AX","OTHER ANTISEPTICS AND DISINFECTANTS","AUTRES ANTISEPTIQUES ET DESINFECTANTS","ANDERE ANTISEPTIKA UND DESINFEKTIONSMITTEL"
"D08AX01","HYDROGEN PEROXIDE","HYDROGENE PEROXYDE","WASSERSTOFFPEROXID"
"D08AX02","EOSIN","EOSINE","EOSIN"
"D08AX03","PROPANOL","PROPANOL","PROPANOL"
"D08AX04","TOSYLCHLORAMIDE SODIUM","TOSYLCHLORAMIDE SODIUM","TOSYLCHLORAMID-NATRIUM"
"D08AX05","ISOPROPANOL","ISOPROPANOL","ISOPROPANOL"
"D08AX06","POTASSIUM PERMANGANATE","PERMANGANATE DE POTASSIUM","KALIUMPERMANGANAT"
"D08AX07","SODIUM HYPOCHLORITE","HYPOCHLORITE DE SODIUM","NATRIUMHYPOCHLORIT"
"D08AX08","ETHANOL","ETHANOL","ETHANOL"
"D08AX53","PROPANOL, COMBINATIONS","ASSOCIATIONS DE PROPANOL","PROPANOL, KOMBINATIONEN"
"D09","MEDICATED DRESSINGS","PANSEMENTS MEDICAMENTEUX","MEDIZINISCHE VERBÄNDE"
"D09A","MEDICATED DRESSINGS","PANSEMENT MEDICAMENTEUX","MEDIZINISCHE VERBÄNDE"
"D09AA","OINTMENT DRESSINGS WITH ANTIINFECTIVES","PANSEMENTS AVEC ANTIINFECTIEUX","MEDIZINISCHE VERBÄNDE MIT ANTIINFEKTIVA"
"D09AA01","FRAMYCETIN","FRAMYCETINE","FRAMYCETIN"
"D09AA02","FUSIDIC ACID","ACIDE FUSIDIQUE","FUSIDINSÄURE"
"D09AA03","NITROFURAL","NITROFURAZONE","NITROFURAL"
"D09AA04","PHENYLMERCURIC NITRATE","PHENYLMERCURE NITRATE","PHENYLQUECKSILBERNITRAT"
"D09AA05","BENZODODECINIUM","BENZODODECINIUM","BENZODODECINIUM"
"D09AA06","TRICLOSAN","TRICLOSAN","TRICLOSAN"
"D09AA07","CETYLPYRIDINIUM","CETYLPYRIDINIUM","CETYLPYRIDINIUM"
